,date_block_num,item_price,item_price_lag_1,item_cnt_day_lag_1,item_price_lag_2,item_cnt_day_lag_2,item_price_lag_3,item_cnt_day_lag_3,item_price_lag_4,item_cnt_day_lag_4,month,is_NewYear,group,item_cnt_day
1577583,33,399.0,415.92,1.0,699.0,1.0,698.5,1.0,699.0,4.0,10,0,1.741760537963262,1.0
1577584,33,300.0,300.0,1.0,300.0,2.0,300.0,1.0,300.0,2.0,10,0,2.44393361374678,3.0
1577585,33,420.0,420.0,1.0,420.0,1.0,420.0,1.0,420.0,1.0,10,0,1.7309314347904952,1.0
1577586,33,3300.0,3300.0,1.0,3300.0,1.0,3300.0,1.0,3300.0,1.0,10,0,2.44393361374678,1.0
1577587,33,58.0,58.0,1.0,58.0,1.0,58.0,1.0,58.0,1.0,10,0,1.741760537963262,1.0
1577588,33,199.0,199.0,1.0,199.0,1.0,199.0,1.0,199.0,1.0,10,0,1.741760537963262,1.0
1577589,33,169.0,129.0,1.0,399.0,1.0,399.0,3.0,399.0,3.0,10,0,1.741760537963262,1.0
1577590,33,349.0,349.0,1.0,349.0,1.0,349.0,1.0,349.0,1.0,10,0,1.379644165358451,1.0
1577591,33,1299.0,499.5,1.0,699.0,1.0,699.0,1.0,699.0,1.0,10,0,2.5639084898763547,1.0
1577592,33,298.0,999.0,1.0,999.0,8.0,999.0,8.0,999.0,8.0,10,0,3.5918007610261715,1.0
1577593,33,1398.0,1398.0,2.0,2999.0,2.0,2999.0,11.0,2999.0,11.0,10,0,2.5639084898763547,1.0
1577594,33,999.0,499.5,2.0,999.0,1.0,999.0,1.0,999.0,1.0,10,0,2.5639084898763547,2.0
1577595,33,1199.0,1199.0,4.0,1199.0,5.0,1199.0,5.0,1199.0,5.0,10,0,2.5639084898763547,1.0
1577596,33,799.0,799.0,2.0,799.0,1.0,799.0,1.0,799.0,1.0,10,0,2.5639084898763547,1.0
1577597,33,1299.0,675.5,1.0,754.33,1.0,742.59,1.0,1299.0,1.0,10,0,3.5918007610261715,1.0
1577598,33,1999.0,999.5,3.0,1999.0,2.0,1999.0,1.0,1999.0,2.0,10,0,2.5639084898763547,1.0
1577599,33,1999.0,999.5,6.0,999.5,5.0,999.5,5.0,999.5,5.0,10,0,2.5639084898763547,2.0
1577600,33,1999.0,999.5,3.0,1499.0,3.0,1499.5,3.0,2999.0,3.0,10,0,2.5639084898763547,1.0
1577601,33,1799.0,1799.0,1.0,1799.0,4.0,1799.0,4.0,1799.0,4.0,10,0,2.5639084898763547,1.0
1577602,33,1199.0,623.5,1.0,599.5,4.0,899.0,1.0,1799.0,1.0,10,0,3.5918007610261715,1.0
1577603,33,1999.0,1999.0,1.0,1499.0,1.0,2999.0,2.0,2999.0,1.0,10,0,2.5639084898763547,1.0
1577604,33,999.0,499.5,3.0,999.0,1.0,999.0,1.0,999.0,1.0,10,0,2.5639084898763547,1.0
1577605,33,8999.0,8999.0,4.0,8999.0,4.0,8999.0,4.0,8999.0,4.0,10,0,2.5639084898763547,4.0
1577606,33,8999.0,8999.0,1.0,8999.0,1.0,8999.0,1.0,8999.0,1.0,10,0,2.5639084898763547,1.0
1577607,33,3899.0,3899.0,9.0,3899.0,9.0,3899.0,9.0,3899.0,9.0,10,0,2.5639084898763547,9.0
1577608,33,5999.0,5999.0,1.0,5999.0,1.0,5999.0,1.0,5999.0,1.0,10,0,2.5639084898763547,1.0
1577609,33,999.0,949.0,1.0,949.0,1.0,949.0,1.0,949.0,1.0,10,0,3.5918007610261715,1.0
1577610,33,1199.0,599.0,3.0,599.0,10.0,599.0,1.0,1199.0,3.0,10,0,2.5639084898763547,2.0
1577611,33,1499.0,749.0,1.0,749.0,2.0,1499.0,1.0,999.0,1.0,10,0,2.5639084898763547,1.0
